Name; IDay; IHour; IMinute; IDate; FDay; FHour; FMinute; FDate; Movie; Alocated Hour; Was Alocated; Alocated Room
Client68;2;15;29;3809;2;19;34;4054;Star Wars;3995;sim;Room3
Client67;4;15;14;6674;4;18;28;6868;Star Wars;6805;sim;Room3
Client66;6;16;3;9603;6;20;22;9862;Star Wars;9733;sim;Room3
Client65;4;15;27;6687;4;19;42;6942;Star Wars;6805;sim;Room3
Client64;0;13;54;834;0;18;40;1120;Star Wars;1115;sim;Room3
Client63;5;20;3;8403;5;20;8;8408;Star Wars;8404;sim;Room1
Client62;0;16;22;982;0;20;8;1208;Star Wars;1115;sim;Room3
Client61;2;17;55;3955;2;21;35;4175;Star Wars;3995;sim;Room3
Client60;4;17;0;6780;4;21;23;7043;Star Wars;6805;sim;Room3
Client59;5;17;17;8237;5;20;56;8456;Star Wars;8294;sim;Room3
Client58;4;17;30;6810;4;21;58;7078;Star Wars;7001;sim;Room2
Client57;1;19;6;2586;1;21;55;2755;Star Wars;2586;sim;Room1
Client56;3;18;39;5439;3;22;16;5656;Star Wars;5475;sim;Room3
Client55;0;13;42;822;0;20;0;1200;Star Wars;1115;sim;Room3
Client54;3;18;5;5405;3;21;8;5588;Star Wars;5475;sim;Room3
Client53;5;19;12;8352;5;21;47;8507;Star Wars;8387;sim;Room2
Client51;0;16;48;1008;0;20;49;1249;Star Wars;1115;sim;Room3
Client69;0;15;55;955;0;19;59;1199;Star Wars;1115;sim;Room3
Client70;5;18;12;8292;5;21;48;8508;Star Wars;8294;sim;Room3
Client71;0;16;51;1011;0;21;41;1301;Star Wars;1115;sim;Room3
Client72;0;14;57;897;0;19;14;1154;Star Wars;1115;sim;Room3
Client73;0;20;15;1215;0;22;6;1326;Star Wars;1215;sim;Room1
Client74;5;17;1;8221;5;20;46;8446;Star Wars;8294;sim;Room3
Client75;6;15;3;9543;6;20;30;9870;Star Wars;9733;sim;Room3
Client76;4;17;19;6799;4;21;51;7071;Star Wars;6805;sim;Room3
Client78;0;15;48;948;0;20;16;1216;Star Wars;1115;sim;Room3
Client79;1;18;47;2567;1;22;4;2764;Star Wars;2567;sim;Room3
Client81;2;17;7;3907;2;21;36;4176;Star Wars;3995;sim;Room3
Client82;1;15;44;2384;1;18;55;2575;Star Wars;2567;sim;Room3
Client83;4;15;7;6667;4;18;51;6891;Star Wars;6805;sim;Room3
Client84;6;15;43;9583;6;21;30;9930;Star Wars;9733;sim;Room3
Client85;5;15;41;8141;5;18;43;8323;Star Wars;8294;sim;Room3
Client86;6;16;40;9640;6;20;20;9860;Star Wars;9733;sim;Room3
Client88;6;16;24;9624;6;19;39;9819;Star Wars;9733;sim;Room3
Client89;0;18;35;1115;0;20;40;1240;Star Wars;1115;sim;Room3
Client90;4;16;59;6779;4;21;4;7024;Star Wars;6805;sim;Room3
Client91;6;15;55;9595;6;19;42;9822;Star Wars;9733;sim;Room3
Client92;6;18;29;9749;6;22;20;9980;Star Wars;9884;sim;Room1
Client93;4;16;48;6768;4;20;32;6992;Star Wars;6805;sim;Room3
Client94;6;18;12;9732;6;21;20;9920;Star Wars;9733;sim;Room3
Client95;0;17;32;1052;0;20;52;1252;Star Wars;1115;sim;Room3
Client96;5;17;15;8235;5;21;30;8490;Star Wars;8294;sim;Room3
Client97;3;16;41;5321;3;19;58;5518;Star Wars;5475;sim;Room3
Client98;5;13;1;7981;5;22;5;8525;Star Wars;8294;sim;Room3
Client99;6;9;42;9222;6;21;19;9919;Star Wars;9733;sim;Room3
Client100;5;17;28;8248;5;20;10;8410;Star Wars;8294;sim;Room3
Client101;4;16;51;6771;4;20;43;7003;Star Wars;6805;sim;Room3
Client102;0;17;29;1049;0;21;32;1292;Star Wars;1115;sim;Room3
Client103;0;15;32;932;0;19;32;1172;Star Wars;1115;sim;Room3
Client104;4;17;25;6805;4;21;6;7026;Star Wars;6805;sim;Room3
Client105;5;17;32;8252;5;21;22;8482;Star Wars;8294;sim;Room3
Client106;5;17;33;8253;5;21;14;8474;Star Wars;8294;sim;Room3
Client107;2;16;35;3875;2;22;46;4246;Star Wars;3995;sim;Room3
Client108;4;16;41;6761;4;20;4;6964;Star Wars;6805;sim;Room3
Client109;3;19;15;5475;3;22;14;5654;Star Wars;5475;sim;Room3
Client110;6;15;26;9566;6;20;21;9861;Star Wars;9733;sim;Room3
Client111;6;16;57;9657;6;21;29;9929;Star Wars;9733;sim;Room3
Client112;4;17;47;6827;4;21;44;7064;Star Wars;7001;sim;Room2
Client113;5;16;28;8188;5;20;45;8445;Star Wars;8294;sim;Room3
Client115;2;16;45;3885;2;20;50;4130;Star Wars;3995;sim;Room3
Client116;6;14;49;9529;6;20;3;9843;Star Wars;9733;sim;Room3
Client117;2;14;48;3768;2;20;39;4119;Star Wars;3995;sim;Room3
Client118;6;15;52;9592;6;20;24;9864;Star Wars;9733;sim;Room3
Client119;5;17;53;8273;5;21;38;8498;Star Wars;8294;sim;Room3
Client120;4;17;45;6825;4;20;16;6976;Star Wars;6925;sim;Room1
Client121;6;15;56;9596;6;21;57;9957;Star Wars;9733;sim;Room3
Client123;1;14;59;2339;1;19;24;2604;Star Wars;2567;sim;Room3
Client124;1;16;5;2405;1;20;54;2694;Star Wars;2567;sim;Room3
Client125;6;18;2;9722;6;22;55;10015;Star Wars;9733;sim;Room3
Client126;6;16;3;9603;6;20;5;9845;Star Wars;9733;sim;Room3
Client127;4;17;3;6783;4;21;42;7062;Star Wars;6805;sim;Room3
Client128;6;18;4;9724;6;22;1;9961;Star Wars;9733;sim;Room3
Client129;4;15;48;6708;4;21;38;7058;Star Wars;6805;sim;Room3
Client133;6;17;5;9665;6;21;58;9958;Star Wars;9733;sim;Room3
Client131;5;18;18;8298;5;19;50;8390;Star Wars;8387;sim;Room2
Client134;1;16;55;2455;1;19;38;2618;Star Wars;2567;sim;Room3
Client77;1;16;21;2421;1;20;25;2665;Star Wars;2567;sim;Room3
Client80;0;16;45;1005;0;20;38;1238;Star Wars;1115;sim;Room3
Client87;1;16;24;2424;1;20;23;2663;Star Wars;2567;sim;Room3
Client114;6;19;23;9803;6;20;44;9884;Star Wars;9833;sim;Room2
Client122;4;14;44;6644;4;19;2;6902;Star Wars;6805;sim;Room3
Client130;0;16;48;1008;0;19;40;1180;Star Wars;1115;sim;Room3
Client132;5;15;39;8139;5;20;37;8437;Star Wars;8294;sim;Room3
Client135;5;15;59;8159;5;20;41;8441;Star Wars;8294;sim;Room3
Client136;5;18;40;8320;5;22;44;8564;Star Wars;8387;sim;Room2
Client137;1;16;45;2445;1;19;12;2592;Star Wars;2567;sim;Room3
Client139;3;17;41;5381;3;21;14;5594;Star Wars;5475;sim;Room3
Client138;6;16;24;9624;6;20;10;9850;Star Wars;9733;sim;Room3
Client140;6;12;24;9384;6;20;15;9855;Star Wars;9733;sim;Room3
Client141;3;10;5;4925;3;19;39;5499;Star Wars;5475;sim;Room3
Client142;0;17;55;1075;0;21;42;1302;Star Wars;1115;sim;Room3
Client143;6;16;15;9615;6;20;11;9851;Star Wars;9733;sim;Room3
Client144;6;17;1;9661;6;21;6;9906;Star Wars;9733;sim;Room3
Client145;1;17;37;2497;1;20;6;2646;Star Wars;2567;sim;Room3
Client146;4;18;2;6842;4;21;4;7024;Star Wars;7001;sim;Room2
Client148;5;15;52;8152;5;20;4;8404;Star Wars;8294;sim;Room3
Client147;4;20;9;6969;4;23;14;7154;Star Wars;7001;sim;Room2
Client149;2;18;26;3986;2;21;6;4146;Star Wars;3995;sim;Room3
Client150;5;16;43;8203;5;21;26;8486;Star Wars;8294;sim;Room3
Client151;6;18;23;9743;6;21;14;9914;Star Wars;9884;sim;Room1
Client152;5;17;50;8270;5;20;47;8447;Star Wars;8294;sim;Room3
Client153;1;16;15;2415;1;19;33;2613;Star Wars;2567;sim;Room3
Client154;3;16;41;5321;3;20;41;5561;Star Wars;5475;sim;Room3
Client156;0;14;14;854;0;18;37;1117;Star Wars;1115;sim;Room3
Client155;1;18;5;2525;1;21;55;2755;Star Wars;2567;sim;Room3
Client157;4;15;24;6684;4;20;46;7006;Star Wars;6805;sim;Room3
Client158;4;17;35;6815;4;22;5;7085;Star Wars;7001;sim;Room2
Client159;6;19;57;9837;6;21;39;9939;Star Wars;9884;sim;Room1
Client160;6;16;30;9630;6;21;7;9907;Star Wars;9733;sim;Room3
Client161;4;15;54;6714;4;20;31;6991;Star Wars;6805;sim;Room3
Client162;4;11;41;6461;4;20;41;7001;Star Wars;6805;sim;Room3
Client163;5;15;45;8145;5;19;52;8392;Star Wars;8294;sim;Room3
Client164;4;15;28;6688;4;21;30;7050;Star Wars;6805;sim;Room3
Client165;3;15;52;5272;3;19;44;5504;Star Wars;5475;sim;Room3
Client166;0;14;44;884;0;20;32;1232;Star Wars;1115;sim;Room3
Client167;6;18;13;9733;6;22;5;9965;Star Wars;9733;sim;Room3
Client168;2;14;59;3779;2;18;41;4001;Star Wars;3995;sim;Room3
Client169;6;17;43;9703;6;21;16;9916;Star Wars;9733;sim;Room3
Client170;4;16;10;6730;4;19;39;6939;Star Wars;6805;sim;Room3
Client171;0;17;2;1022;0;22;26;1346;Star Wars;1115;sim;Room3
Client172;5;18;40;8320;5;22;27;8547;Star Wars;8387;sim;Room2
Client173;4;16;22;6742;4;20;55;7015;Star Wars;6805;sim;Room3
Client174;1;16;33;2433;1;20;59;2699;Star Wars;2567;sim;Room3
Client175;6;12;48;9408;6;19;0;9780;Star Wars;9733;sim;Room3
Client176;5;18;31;8311;5;22;50;8570;Star Wars;8387;sim;Room2
Client177;3;17;11;5351;3;21;12;5592;Star Wars;5475;sim;Room3
Client178;5;17;31;8251;5;19;40;8380;Star Wars;8294;sim;Room3
Client179;2;16;5;3845;2;20;50;4130;Star Wars;3995;sim;Room3
Client180;5;17;10;8230;5;22;0;8520;Star Wars;8294;sim;Room3
Client181;4;18;10;6850;4;21;31;7051;Star Wars;7001;sim;Room2
Client182;5;19;0;8340;5;20;27;8427;Star Wars;8387;sim;Room2
Client183;1;18;5;2525;1;21;23;2723;Star Wars;2567;sim;Room3
Client184;5;20;39;8439;5;23;2;8582;Star Wars;8439;sim;Room0
Client185;5;18;26;8306;5;21;34;8494;Star Wars;8387;sim;Room2
Client187;2;16;34;3874;2;20;15;4095;Star Wars;3995;sim;Room3
Client188;5;15;14;8114;5;19;32;8372;Star Wars;8294;sim;Room3
Client189;6;15;43;9583;6;21;14;9914;Star Wars;9733;sim;Room3
Client191;6;17;21;9681;6;19;18;9798;Star Wars;9733;sim;Room3
Client186;1;17;54;2514;1;20;20;2660;Star Wars;2567;sim;Room3
Client190;4;17;1;6781;4;20;23;6983;Star Wars;6805;sim;Room3
Client192;0;14;16;856;0;18;59;1139;Star Wars;1115;sim;Room3
Client193;5;18;14;8294;5;22;44;8564;Star Wars;8294;sim;Room3
Client194;6;12;30;9390;6;21;22;9922;Star Wars;9733;sim;Room3
Client195;5;17;45;8265;5;21;13;8473;Star Wars;8294;sim;Room3
Client196;6;20;40;9880;6;22;51;10011;Star Wars;9884;sim;Room1
Client197;6;16;51;9651;6;21;46;9946;Star Wars;9733;sim;Room3
Client199;1;18;42;2562;1;23;50;2870;Star Wars;2567;sim;Room3
Client200;4;15;2;6662;4;18;3;6843;Star Wars;6805;sim;Room3
Client201;2;19;28;4048;2;21;34;4174;Star Wars;4048;sim;Room1
Client202;0;20;8;1208;0;20;37;1237;Star Wars;1215;sim;Room1
Client203;1;16;42;2442;1;20;59;2699;Star Wars;2567;sim;Room3
Client198;1;12;54;2214;1;23;9;2829;Star Wars;2567;sim;Room3
Client204;1;17;7;2467;1;21;56;2756;Star Wars;2567;sim;Room3
Client205;4;19;46;6946;4;20;17;6977;Star Wars;6976;sim;Room0
Client206;6;14;41;9521;6;19;16;9796;Star Wars;9733;sim;Room3
Client207;6;17;17;9677;6;21;33;9933;Star Wars;9733;sim;Room3
Client208;2;12;29;3629;2;21;46;4186;Star Wars;3995;sim;Room3
Client209;2;17;26;3926;2;22;7;4207;Star Wars;3995;sim;Room3
Client212;2;17;14;3914;2;21;35;4175;Star Wars;3995;sim;Room3
Client211;4;14;51;6651;4;19;7;6907;Star Wars;6805;sim;Room3
Client210;4;19;12;6912;4;21;15;7035;Star Wars;7001;sim;Room2
Client213;4;16;3;6723;4;22;32;7112;Star Wars;6805;sim;Room3
Client215;0;16;55;1015;0;22;7;1327;Star Wars;1115;sim;Room3
Client217;2;13;51;3711;2;18;21;3981;Star Wars;3711;sim;Room0
Client216;3;18;7;5407;3;22;14;5654;Star Wars;5475;sim;Room3
Client218;3;16;31;5311;3;20;39;5559;Star Wars;5475;sim;Room3
Client219;4;17;43;6823;4;21;10;7030;Star Wars;7001;sim;Room2
Client220;6;17;57;9717;6;21;30;9930;Star Wars;9733;sim;Room3
Client221;0;16;10;970;0;21;1;1261;Star Wars;1115;sim;Room3
Client222;3;16;54;5334;3;21;54;5634;Star Wars;5475;sim;Room3
Client223;4;15;57;6717;4;20;17;6977;Star Wars;6805;sim;Room3
Client224;5;14;54;8094;5;18;58;8338;Star Wars;8294;sim;Room3
Client225;5;17;57;8277;5;21;18;8478;Star Wars;8294;sim;Room3
Client226;4;16;29;6749;4;21;48;7068;Star Wars;6805;sim;Room3
Client227;4;17;40;6820;4;21;37;7057;Star Wars;7001;sim;Room2
Client228;0;18;50;1130;0;22;37;1357;Star Wars;1215;sim;Room1
Client229;3;14;8;5168;3;18;55;5455;Star Wars;5168;sim;Room0
Client230;5;18;29;8309;5;21;57;8517;Star Wars;8387;sim;Room2
Client231;6;15;35;9575;6;19;56;9836;Star Wars;9733;sim;Room3
Client232;3;17;22;5362;3;20;30;5550;Star Wars;5475;sim;Room3
Client233;6;20;40;9880;6;22;16;9976;Star Wars;9884;sim;Room1
Client234;2;17;4;3904;2;21;9;4149;Star Wars;3995;sim;Room3
Client235;3;17;1;5341;3;19;29;5489;Star Wars;5475;sim;Room3
Client236;6;17;39;9699;6;20;56;9896;Star Wars;9733;sim;Room3
Client237;5;13;36;8016;5;19;0;8340;Star Wars;8294;sim;Room3
Client238;3;18;41;5441;3;22;37;5677;Star Wars;5475;sim;Room3
Client239;4;17;8;6788;4;21;58;7078;Star Wars;6805;sim;Room3
Client240;3;17;33;5373;3;21;19;5599;Star Wars;5475;sim;Room3
Client241;6;19;20;9800;6;22;29;9989;Star Wars;9884;sim;Room1
Client242;5;11;12;7872;5;21;34;8494;Star Wars;8294;sim;Room3
Client243;2;18;22;3982;2;20;35;4115;Star Wars;3995;sim;Room3
Client244;2;18;25;3985;2;22;11;4211;Star Wars;3995;sim;Room3
Client245;4;16;18;6738;4;20;32;6992;Star Wars;6805;sim;Room3
Client214;1;16;24;2424;1;20;16;2656;Star Wars;2567;sim;Room3
Client246;5;16;53;8213;5;20;3;8403;Star Wars;8294;sim;Room3
Client247;0;18;33;1113;0;22;6;1326;Star Wars;1115;sim;Room3
Client248;5;18;49;8329;5;22;2;8522;Star Wars;8387;sim;Room2
Client249;4;17;26;6806;4;20;46;7006;Star Wars;7001;sim;Room2
Client250;5;18;17;8297;5;20;16;8416;Star Wars;8387;sim;Room2
Client252;1;18;11;2531;1;21;54;2754;Star Wars;2567;sim;Room3
Client253;2;18;29;3989;2;22;24;4224;Star Wars;3995;sim;Room3
Client254;5;19;1;8341;5;21;39;8499;Star Wars;8387;sim;Room2
Client255;1;19;2;2582;1;22;5;2765;Star Wars;2586;sim;Room1
Client256;4;17;55;6835;4;21;0;7020;Star Wars;7001;sim;Room2
Client257;6;17;15;9675;6;21;7;9907;Star Wars;9733;sim;Room3
Client258;4;18;26;6866;4;21;2;7022;Star Wars;7001;sim;Room2
Client259;6;16;28;9628;6;20;30;9870;Star Wars;9733;sim;Room3
Client260;6;14;49;9529;6;20;25;9865;Star Wars;9733;sim;Room3
Client261;6;18;29;9749;6;22;6;9966;Star Wars;9884;sim;Room1
Client262;2;16;46;3886;2;21;37;4177;Star Wars;3995;sim;Room3
Client265;1;10;26;2066;1;19;58;2638;Star Wars;2567;sim;Room3
Client263;2;21;49;4189;2;22;2;4202;Star Wars;4189;sim;Room0
Client268;2;16;22;3862;2;19;39;4059;Star Wars;3995;sim;Room3
Client266;4;15;32;6692;4;19;40;6940;Star Wars;6805;sim;Room3
Client270;5;18;18;8298;5;22;48;8568;Star Wars;8387;sim;Room2
Client271;4;18;13;6853;4;21;57;7077;Star Wars;7001;sim;Room2
Client272;6;19;13;9793;6;21;43;9943;Star Wars;9884;sim;Room1
Client273;4;15;43;6703;4;21;0;7020;Star Wars;6805;sim;Room3
Client274;5;19;13;8353;5;21;31;8491;Star Wars;8387;sim;Room2
Client275;5;16;11;8171;5;20;15;8415;Star Wars;8294;sim;Room3
Client277;5;16;14;8174;5;20;46;8446;Star Wars;8294;sim;Room3
Client251;2;18;21;3981;2;21;33;4173;Star Wars;3995;sim;Room3
Client264;3;18;36;5436;3;21;59;5639;Star Wars;5475;sim;Room3
Client269;2;14;58;3778;2;18;54;4014;Star Wars;3995;sim;Room3
Client267;2;18;35;3995;2;22;25;4225;Star Wars;3995;sim;Room3
Client276;3;19;8;5468;3;22;8;5648;Star Wars;5475;sim;Room3
Client278;4;17;2;6782;4;20;51;7011;Star Wars;6805;sim;Room3
Client279;1;18;43;2563;1;21;38;2738;Star Wars;2567;sim;Room3
Client280;5;19;9;8349;5;20;40;8440;Star Wars;8387;sim;Room2
Client283;4;21;37;7057;4;22;28;7108;Star Wars;7057;sim;Room0
Client282;1;16;41;2441;1;21;21;2721;Star Wars;2567;sim;Room3
Client284;6;17;12;9672;6;20;57;9897;Star Wars;9733;sim;Room3
Client285;4;15;3;6663;4;21;47;7067;Star Wars;6805;sim;Room3
Client286;6;17;44;9704;6;21;31;9931;Star Wars;9733;sim;Room3
Client287;5;18;17;8297;5;20;37;8437;Star Wars;8387;sim;Room2
Client288;2;19;6;4026;2;20;57;4137;Star Wars;4048;sim;Room1
Client289;3;15;43;5263;3;20;41;5561;Star Wars;5475;sim;Room3
Client290;0;15;5;905;0;20;7;1207;Star Wars;1115;sim;Room3
Client291;4;17;46;6826;4;22;56;7136;Star Wars;7001;sim;Room2
Client292;4;19;50;6950;4;21;14;7034;Star Wars;7001;sim;Room2
Client293;4;18;55;6895;4;20;41;7001;Star Wars;6925;sim;Room1
Client294;1;16;43;2443;1;21;0;2700;Star Wars;2567;sim;Room3
Client295;5;16;42;8202;5;21;35;8495;Star Wars;8294;sim;Room3
Client297;0;13;59;839;0;21;55;1315;Star Wars;1115;sim;Room3
Client281;4;10;31;6391;4;19;34;6934;Star Wars;6805;sim;Room3
Client298;1;14;26;2306;1;20;29;2669;Star Wars;2567;sim;Room3
Client299;2;12;17;3617;2;20;25;4105;Star Wars;3995;sim;Room3
Client301;6;18;10;9730;6;20;14;9854;Fim Da Inocencia;;nao;
Client302;6;9;37;9217;6;20;13;9853;Fim Da Inocencia;9628;sim;Room3
Client303;6;17;25;9685;6;20;52;9892;Fim Da Inocencia;;nao;
Client304;6;15;18;9558;6;19;31;9811;Fim Da Inocencia;9628;sim;Room3
Client305;4;16;29;6749;4;19;43;6943;Fim Da Inocencia;;nao;
Client306;1;15;43;2383;1;20;2;2642;Fim Da Inocencia;2462;sim;Room1
Client307;4;16;27;6747;4;20;36;6996;Fim Da Inocencia;;nao;
Client310;5;14;43;8083;5;21;34;8494;Fim Da Inocencia;8188;sim;Room3
Client309;4;17;44;6824;4;19;30;6930;Fim Da Inocencia;;nao;
Client314;4;17;31;6811;4;20;39;6999;Fim Da Inocencia;;nao;
Client317;1;16;4;2404;1;20;0;2640;Fim Da Inocencia;2462;sim;Room1
Client315;2;16;9;3849;2;19;15;4035;Fim Da Inocencia;3896;sim;Room1
Client316;4;14;46;6646;4;21;53;7073;Fim Da Inocencia;7067;sim;Room2
Client318;3;17;11;5351;3;20;24;5544;Fim Da Inocencia;5444;sim;Room2
Client311;3;15;12;5232;3;19;22;5482;Fim Da Inocencia;5444;sim;Room2
Client313;5;17;56;8276;5;22;10;8530;Fim Da Inocencia;8523;sim;Room1
Client319;2;15;13;3793;2;20;19;4099;Fim Da Inocencia;4062;sim;Room3
Client320;1;16;58;2458;1;20;37;2677;Fim Da Inocencia;2656;sim;Room2
Client296;5;16;15;8175;5;20;29;8429;Star Wars;8294;sim;Room3
Client300;5;16;15;8175;5;20;45;8445;Fim Da Inocencia;8188;sim;Room3
Client308;4;15;45;6705;4;19;47;6947;Fim Da Inocencia;6720;sim;Room1
Client326;4;16;0;6720;4;19;52;6952;Fim Da Inocencia;6720;sim;Room1
Client323;2;15;48;3828;2;21;7;4147;Fim Da Inocencia;4062;sim;Room3
Client333;6;16;47;9647;6;22;50;10010;Fim Da Inocencia;9916;sim;Room2
Client325;6;16;39;9639;6;20;33;9873;Fim Da Inocencia;;nao;
Client322;6;16;50;9650;6;19;37;9817;Fim Da Inocencia;;nao;
Client337;5;18;16;8296;5;22;1;8521;Fim Da Inocencia;;nao;
Client324;0;18;0;1080;0;21;38;1298;Fim Da Inocencia;1202;sim;Room2
Client327;1;12;58;2218;1;21;11;2711;Fim Da Inocencia;2656;sim;Room2
Client329;5;13;51;8031;5;20;8;8408;Fim Da Inocencia;8188;sim;Room3
Client328;5;16;40;8200;5;20;50;8450;Fim Da Inocencia;;nao;
Client330;5;16;49;8209;5;21;5;8465;Fim Da Inocencia;;nao;
Client338;0;17;22;1042;0;20;7;1207;Fim Da Inocencia;1069;sim;Room2
Client332;4;15;56;6716;4;20;13;6973;Fim Da Inocencia;6720;sim;Room1
Client331;5;17;56;8276;5;20;57;8457;Fim Da Inocencia;;nao;
Client335;1;17;36;2496;1;21;29;2729;Fim Da Inocencia;2656;sim;Room2
Client336;6;18;19;9739;6;20;40;9880;Fim Da Inocencia;;nao;
Client312;5;17;38;8258;5;21;23;8483;Fim Da Inocencia;;nao;
Client321;5;16;2;8162;5;21;0;8460;Fim Da Inocencia;8188;sim;Room3
Client334;5;16;37;8197;5;20;26;8426;Fim Da Inocencia;;nao;
Client339;2;17;14;3914;2;20;21;4101;Fim Da Inocencia;4062;sim;Room3
Client340;2;16;54;3894;2;20;59;4139;Fim Da Inocencia;4062;sim;Room3
Client342;6;17;14;9674;6;21;16;9916;Fim Da Inocencia;;nao;
Client341;4;19;16;6916;4;21;35;7055;Fim Da Inocencia;;nao;
Client343;0;15;32;932;0;19;9;1149;Fim Da Inocencia;1069;sim;Room2
Client344;4;18;29;6869;4;21;27;7047;Fim Da Inocencia;;nao;
Client345;1;17;5;2465;1;21;3;2703;Fim Da Inocencia;2656;sim;Room2
Client346;0;17;52;1072;0;22;15;1335;Fim Da Inocencia;1202;sim;Room2
Client347;4;16;56;6776;4;20;16;6976;Fim Da Inocencia;;nao;
Client348;5;16;25;8185;5;20;57;8457;Fim Da Inocencia;8188;sim;Room3
Client349;4;18;39;6879;4;22;15;7095;Fim Da Inocencia;7067;sim;Room2
Client350;5;19;20;8360;5;20;49;8449;Fim Da Inocencia;;nao;
Client353;3;20;23;5543;3;21;30;5610;Fim Da Inocencia;5607;sim;Room1
Client352;6;15;57;9597;6;21;24;9924;Fim Da Inocencia;9628;sim;Room3
Client354;0;17;2;1022;0;20;32;1232;Fim Da Inocencia;1069;sim;Room2
Client351;5;17;12;8232;5;21;19;8479;Fim Da Inocencia;;nao;
Client356;4;20;59;7019;4;21;50;7070;Fim Da Inocencia;7067;sim;Room2
Client357;5;15;12;8112;5;19;49;8389;Fim Da Inocencia;8188;sim;Room3
Client358;6;18;20;9740;6;21;48;9948;Fim Da Inocencia;9916;sim;Room2
Client359;6;16;39;9639;6;21;24;9924;Fim Da Inocencia;9916;sim;Room2
Client360;6;20;17;9857;6;23;16;10036;Fim Da Inocencia;9916;sim;Room2
